
==> Dump Arguments:
pruning method: energy
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 3

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/energy/HAR/stage_2.pth.tar
evaluate : False
retrain : False
prune : energy
prune_shape : vector
prune_target : None
stage : 3
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[0.0005015672411322694, 0.0005540911145185848, 0.0005351685133719366, 0.00030194462306456154]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -0.9001 | Best perf: -0.9001[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -0.8855 | Best perf: -0.8855[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -0.7249 | Best perf: -0.7249[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -1.0593 | Best perf: -0.7249[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -1.0593 | Best perf: -0.7249[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -1.2475 | Best perf: -0.7249[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -1.7519 | Best perf: -0.7249[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -1.7519 | Best perf: -0.7249[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -1.3325 | Best perf: -0.7249[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -1.4055 | Best perf: -0.7249[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -2.2122 | Best perf: -0.7249[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -1.0593 | Best perf: -0.7249[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -1.4055 | Best perf: -0.7249[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -1.4055 | Best perf: -0.7249[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -1.4055 | Best perf: -0.7249
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:         54 /        324 (16.7%) weights are pruned
- Layer 1:        972 /       1296 (75.0%) weights are pruned
- Layer 2:       4104 /       5184 (79.2%) weights are pruned
- Layer 3:       1536 /       6912 (22.2%) weights are pruned
- Total  :       6666 /      13716 (48.6%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.5315| Accuracy: 76.86| Best Accuracy: 76.86]
[Epoch: 2| Loss: 0.4515| Accuracy: 84.05| Best Accuracy: 84.05]
[Epoch: 3| Loss: 0.4262| Accuracy: 85.92| Best Accuracy: 85.92]
[Epoch: 4| Loss: 0.4129| Accuracy: 85.61| Best Accuracy: 85.92]
[Epoch: 5| Loss: 0.4019| Accuracy: 85.65| Best Accuracy: 85.92]
[Epoch: 6| Loss: 0.3928| Accuracy: 85.88| Best Accuracy: 85.92]
[Epoch: 7| Loss: 0.3851| Accuracy: 85.71| Best Accuracy: 85.92]
[Epoch: 8| Loss: 0.3783| Accuracy: 85.82| Best Accuracy: 85.92]
[Epoch: 9| Loss: 0.3720| Accuracy: 85.95| Best Accuracy: 85.95]
[Epoch: 10| Loss: 0.3663| Accuracy: 85.99| Best Accuracy: 85.99]
[Epoch: 11| Loss: 0.3610| Accuracy: 86.19| Best Accuracy: 86.19]
[Epoch: 12| Loss: 0.3561| Accuracy: 86.43| Best Accuracy: 86.43]
[Epoch: 13| Loss: 0.3515| Accuracy: 86.46| Best Accuracy: 86.46]
[Epoch: 14| Loss: 0.3471| Accuracy: 86.60| Best Accuracy: 86.60]
[Epoch: 15| Loss: 0.3431| Accuracy: 86.80| Best Accuracy: 86.80]
[Epoch: 16| Loss: 0.3392| Accuracy: 86.90| Best Accuracy: 86.90]
[Epoch: 17| Loss: 0.3356| Accuracy: 86.97| Best Accuracy: 86.97]
[Epoch: 18| Loss: 0.3322| Accuracy: 87.14| Best Accuracy: 87.14]
[Epoch: 19| Loss: 0.3289| Accuracy: 87.21| Best Accuracy: 87.21]
[Epoch: 20| Loss: 0.3259| Accuracy: 87.31| Best Accuracy: 87.31]
[Epoch: 21| Loss: 0.3230| Accuracy: 87.55| Best Accuracy: 87.55]
[Epoch: 22| Loss: 0.3203| Accuracy: 87.75| Best Accuracy: 87.75]
[Epoch: 23| Loss: 0.3178| Accuracy: 87.82| Best Accuracy: 87.82]
[Epoch: 24| Loss: 0.3154| Accuracy: 87.92| Best Accuracy: 87.92]
[Epoch: 25| Loss: 0.3132| Accuracy: 88.09| Best Accuracy: 88.09]
[Epoch: 26| Loss: 0.3110| Accuracy: 88.16| Best Accuracy: 88.16]
[Epoch: 27| Loss: 0.3090| Accuracy: 88.23| Best Accuracy: 88.23]
[Epoch: 28| Loss: 0.3071| Accuracy: 88.26| Best Accuracy: 88.26]
[Epoch: 29| Loss: 0.3053| Accuracy: 88.29| Best Accuracy: 88.29]
[Epoch: 30| Loss: 0.3036| Accuracy: 88.26| Best Accuracy: 88.29]
[Epoch: 31| Loss: 0.3020| Accuracy: 88.19| Best Accuracy: 88.29]
[Epoch: 32| Loss: 0.3004| Accuracy: 88.19| Best Accuracy: 88.29]
[Epoch: 33| Loss: 0.2989| Accuracy: 88.23| Best Accuracy: 88.29]
[Epoch: 34| Loss: 0.2975| Accuracy: 88.23| Best Accuracy: 88.29]
[Epoch: 35| Loss: 0.2962| Accuracy: 88.19| Best Accuracy: 88.29]
[Epoch: 36| Loss: 0.2949| Accuracy: 88.33| Best Accuracy: 88.33]
[Epoch: 37| Loss: 0.2937| Accuracy: 88.39| Best Accuracy: 88.39]
[Epoch: 38| Loss: 0.2926| Accuracy: 88.39| Best Accuracy: 88.39]
[Epoch: 39| Loss: 0.2915| Accuracy: 88.43| Best Accuracy: 88.43]
[Epoch: 40| Loss: 0.2904| Accuracy: 88.53| Best Accuracy: 88.53]
[Epoch: 41| Loss: 0.2894| Accuracy: 88.53| Best Accuracy: 88.53]
[Epoch: 42| Loss: 0.2885| Accuracy: 88.56| Best Accuracy: 88.56]
[Epoch: 43| Loss: 0.2876| Accuracy: 88.56| Best Accuracy: 88.56]
[Epoch: 44| Loss: 0.2867| Accuracy: 88.60| Best Accuracy: 88.60]
[Epoch: 45| Loss: 0.2858| Accuracy: 88.63| Best Accuracy: 88.63]
[Epoch: 46| Loss: 0.2850| Accuracy: 88.70| Best Accuracy: 88.70]
[Epoch: 47| Loss: 0.2843| Accuracy: 88.80| Best Accuracy: 88.80]
[Epoch: 48| Loss: 0.2836| Accuracy: 88.80| Best Accuracy: 88.80]
[Epoch: 49| Loss: 0.2829| Accuracy: 88.97| Best Accuracy: 88.97]
[Epoch: 50| Loss: 0.2822| Accuracy: 88.97| Best Accuracy: 88.97]
[Epoch: 51| Loss: 0.2816| Accuracy: 89.01| Best Accuracy: 89.01]
[Epoch: 52| Loss: 0.2810| Accuracy: 89.04| Best Accuracy: 89.04]
[Epoch: 53| Loss: 0.2804| Accuracy: 89.01| Best Accuracy: 89.04]
[Epoch: 54| Loss: 0.2798| Accuracy: 88.97| Best Accuracy: 89.04]
[Epoch: 55| Loss: 0.2793| Accuracy: 89.01| Best Accuracy: 89.04]
[Epoch: 56| Loss: 0.2788| Accuracy: 89.01| Best Accuracy: 89.04]
[Epoch: 57| Loss: 0.2783| Accuracy: 89.01| Best Accuracy: 89.04]
[Epoch: 58| Loss: 0.2778| Accuracy: 88.97| Best Accuracy: 89.04]
[Epoch: 59| Loss: 0.2774| Accuracy: 89.01| Best Accuracy: 89.04]
[Epoch: 60| Loss: 0.2769| Accuracy: 88.97| Best Accuracy: 89.04]
[Epoch: 61| Loss: 0.2765| Accuracy: 89.04| Best Accuracy: 89.04]
[Epoch: 62| Loss: 0.2761| Accuracy: 89.11| Best Accuracy: 89.11]
[Epoch: 63| Loss: 0.2758| Accuracy: 89.07| Best Accuracy: 89.11]
[Epoch: 64| Loss: 0.2754| Accuracy: 89.11| Best Accuracy: 89.11]
[Epoch: 65| Loss: 0.2750| Accuracy: 89.21| Best Accuracy: 89.21]
[Epoch: 66| Loss: 0.2747| Accuracy: 89.28| Best Accuracy: 89.28]
[Epoch: 67| Loss: 0.2744| Accuracy: 89.35| Best Accuracy: 89.35]
[Epoch: 68| Loss: 0.2741| Accuracy: 89.41| Best Accuracy: 89.41]
