
==> Dump Arguments:
pruning method: energy
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 1

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/energy/HAR/stage_0.pth.tar
evaluate : False
retrain : False
prune : energy
prune_shape : vector
prune_target : None
stage : 1
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[0.0005401202893587232, 0.000709369893148231, 0.0010292571734215692, 0.0003415285752113976]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -1.1364 | Best perf: -1.1364[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -2.9179 | Best perf: -1.1364[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -2.9179 | Best perf: -1.1364[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -1.8247 | Best perf: -1.1364[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -2.1871 | Best perf: -1.1364[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -0.9192 | Best perf: -0.9192[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -1.8102 | Best perf: -0.9192[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -1.8247 | Best perf: -0.9192[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -1.9750 | Best perf: -0.9192[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -1.9750 | Best perf: -0.9192[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -1.9750 | Best perf: -0.9192[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -1.8721 | Best perf: -0.9192[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -1.7309 | Best perf: -0.9192[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -1.9750 | Best perf: -0.9192[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -1.8721 | Best perf: -0.9192
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:         54 /        324 (16.7%) weights are pruned
- Layer 1:        432 /       1296 (33.3%) weights are pruned
- Layer 2:       2592 /       5184 (50.0%) weights are pruned
- Layer 3:       1344 /       6912 (19.4%) weights are pruned
- Total  :       4422 /      13716 (32.2%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.4227| Accuracy: 83.81| Best Accuracy: 83.81]
[Epoch: 2| Loss: 0.2966| Accuracy: 87.38| Best Accuracy: 87.38]
[Epoch: 3| Loss: 0.2692| Accuracy: 88.80| Best Accuracy: 88.80]
[Epoch: 4| Loss: 0.2585| Accuracy: 89.62| Best Accuracy: 89.62]
[Epoch: 5| Loss: 0.2517| Accuracy: 90.19| Best Accuracy: 90.19]
[Epoch: 6| Loss: 0.2471| Accuracy: 90.46| Best Accuracy: 90.46]
[Epoch: 7| Loss: 0.2438| Accuracy: 90.63| Best Accuracy: 90.63]
[Epoch: 8| Loss: 0.2413| Accuracy: 91.01| Best Accuracy: 91.01]
[Epoch: 9| Loss: 0.2393| Accuracy: 90.97| Best Accuracy: 91.01]
[Epoch: 10| Loss: 0.2377| Accuracy: 91.04| Best Accuracy: 91.04]
[Epoch: 11| Loss: 0.2364| Accuracy: 91.11| Best Accuracy: 91.11]
[Epoch: 12| Loss: 0.2354| Accuracy: 90.97| Best Accuracy: 91.11]
[Epoch: 13| Loss: 0.2346| Accuracy: 91.01| Best Accuracy: 91.11]
[Epoch: 14| Loss: 0.2339| Accuracy: 90.94| Best Accuracy: 91.11]
[Epoch: 15| Loss: 0.2334| Accuracy: 90.94| Best Accuracy: 91.11]
[Epoch: 16| Loss: 0.2330| Accuracy: 90.80| Best Accuracy: 91.11]
[Epoch: 17| Loss: 0.2327| Accuracy: 90.84| Best Accuracy: 91.11]
[Epoch: 18| Loss: 0.2325| Accuracy: 90.84| Best Accuracy: 91.11]
[Epoch: 19| Loss: 0.2324| Accuracy: 90.80| Best Accuracy: 91.11]
[Epoch: 20| Loss: 0.2323| Accuracy: 90.77| Best Accuracy: 91.11]
[Epoch: 21| Loss: 0.2322| Accuracy: 90.70| Best Accuracy: 91.11]
[Epoch: 22| Loss: 0.2322| Accuracy: 90.74| Best Accuracy: 91.11]
[Epoch: 23| Loss: 0.2322| Accuracy: 90.80| Best Accuracy: 91.11]
[Epoch: 24| Loss: 0.2323| Accuracy: 90.74| Best Accuracy: 91.11]
[Epoch: 25| Loss: 0.2323| Accuracy: 90.74| Best Accuracy: 91.11]
[Epoch: 26| Loss: 0.2324| Accuracy: 90.74| Best Accuracy: 91.11]
[Epoch: 27| Loss: 0.2325| Accuracy: 90.77| Best Accuracy: 91.11]
[Epoch: 28| Loss: 0.2325| Accuracy: 90.80| Best Accuracy: 91.11]
[Epoch: 29| Loss: 0.2326| Accuracy: 90.70| Best Accuracy: 91.11]
[Epoch: 30| Loss: 0.2327| Accuracy: 90.74| Best Accuracy: 91.11]
[Epoch: 31| Loss: 0.2328| Accuracy: 90.74| Best Accuracy: 91.11]
[Epoch: 32| Loss: 0.2329| Accuracy: 90.74| Best Accuracy: 91.11]
[Epoch: 33| Loss: 0.2330| Accuracy: 90.77| Best Accuracy: 91.11]
[Epoch: 34| Loss: 0.2330| Accuracy: 90.77| Best Accuracy: 91.11]
[Epoch: 35| Loss: 0.2331| Accuracy: 90.77| Best Accuracy: 91.11]
[Epoch: 36| Loss: 0.2332| Accuracy: 90.77| Best Accuracy: 91.11]
[Epoch: 37| Loss: 0.2333| Accuracy: 90.77| Best Accuracy: 91.11]
[Epoch: 38| Loss: 0.2333| Accuracy: 90.77| Best Accuracy: 91.11]
[Epoch: 39| Loss: 0.2334| Accuracy: 90.84| Best Accuracy: 91.11]
[Epoch: 40| Loss: 0.2334| Accuracy: 90.77| Best Accuracy: 91.11]
[Epoch: 41| Loss: 0.2335| Accuracy: 90.80| Best Accuracy: 91.11]
[Epoch: 42| Loss: 0.2335| Accuracy: 90.80| Best Accuracy: 91.11]
[Epoch: 43| Loss: 0.2336| Accuracy: 90.84| Best Accuracy: 91.11]
