[Epoch: 44| Loss: 0.2535| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 45| Loss: 0.2537| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 46| Loss: 0.2538| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 47| Loss: 0.2539| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 48| Loss: 0.2540| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 49| Loss: 0.2541| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 50| Loss: 0.2542| Accuracy: 91.72| Best Accuracy: 91.86]
[Epoch: 51| Loss: 0.2543| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 52| Loss: 0.2544| Accuracy: 91.79| Best Accuracy: 91.86]
[Epoch: 53| Loss: 0.2546| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 54| Loss: 0.2547| Accuracy: 91.72| Best Accuracy: 91.86]
[Epoch: 55| Loss: 0.2548| Accuracy: 91.72| Best Accuracy: 91.86]
[Epoch: 56| Loss: 0.2550| Accuracy: 91.69| Best Accuracy: 91.86]
[Epoch: 57| Loss: 0.2551| Accuracy: 91.69| Best Accuracy: 91.86]
[Epoch: 58| Loss: 0.2553| Accuracy: 91.69| Best Accuracy: 91.86]
[Epoch: 59| Loss: 0.2554| Accuracy: 91.69| Best Accuracy: 91.86]
[Epoch: 60| Loss: 0.2556| Accuracy: 91.82| Best Accuracy: 91.86]
[Epoch: 61| Loss: 0.2557| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 62| Loss: 0.2559| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 63| Loss: 0.2560| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 64| Loss: 0.2562| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 65| Loss: 0.2564| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 66| Loss: 0.2565| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 67| Loss: 0.2567| Accuracy: 91.82| Best Accuracy: 91.86]
[Epoch: 68| Loss: 0.2569| Accuracy: 91.82| Best Accuracy: 91.86]
[Epoch: 69| Loss: 0.2570| Accuracy: 91.82| Best Accuracy: 91.86]
[Epoch: 70| Loss: 0.2572| Accuracy: 91.82| Best Accuracy: 91.86]
[Epoch: 71| Loss: 0.2574| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 72| Loss: 0.2575| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 73| Loss: 0.2577| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 74| Loss: 0.2578| Accuracy: 91.75| Best Accuracy: 91.86]
