
==> Dump Arguments:
pruning method: intermittent
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 3

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/intermittent/HAR/stage_2.pth.tar
evaluate : False
retrain : False
prune : intermittent
prune_shape : vector
prune_target : None
stage : 3
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[3072, 2304, 2880, 326]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -1.4853 | Best perf: -1.4853[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -1.4853 | Best perf: -1.4853[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -1.4853 | Best perf: -1.4853[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -1.4853 | Best perf: -1.4853[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -1.4853 | Best perf: -1.4853[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -1.4207 | Best perf: -1.4207[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -1.4207 | Best perf: -1.4207[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -1.4207 | Best perf: -1.4207[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -1.4207 | Best perf: -1.4207[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -0.5755 | Best perf: -0.5755[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -0.5755 | Best perf: -0.5755[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -0.5755 | Best perf: -0.5755[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -1.4207 | Best perf: -0.5755[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -0.5367 | Best perf: -0.5367[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -0.5755 | Best perf: -0.5367
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:        162 /        324 (50.0%) weights are pruned
- Layer 1:       1080 /       1296 (83.3%) weights are pruned
- Layer 2:       3888 /       5184 (75.0%) weights are pruned
- Layer 3:       1696 /       6912 (24.5%) weights are pruned
- Total  :       6826 /      13716 (49.8%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.4500| Accuracy: 86.19| Best Accuracy: 86.19]
[Epoch: 2| Loss: 0.4230| Accuracy: 87.51| Best Accuracy: 87.51]
[Epoch: 3| Loss: 0.4079| Accuracy: 88.02| Best Accuracy: 88.02]
[Epoch: 4| Loss: 0.3948| Accuracy: 88.77| Best Accuracy: 88.77]
[Epoch: 5| Loss: 0.3834| Accuracy: 88.97| Best Accuracy: 88.97]
[Epoch: 6| Loss: 0.3734| Accuracy: 89.24| Best Accuracy: 89.24]
[Epoch: 7| Loss: 0.3645| Accuracy: 89.38| Best Accuracy: 89.38]
[Epoch: 8| Loss: 0.3566| Accuracy: 89.55| Best Accuracy: 89.55]
[Epoch: 9| Loss: 0.3495| Accuracy: 89.51| Best Accuracy: 89.55]
[Epoch: 10| Loss: 0.3432| Accuracy: 89.72| Best Accuracy: 89.72]
[Epoch: 11| Loss: 0.3375| Accuracy: 89.92| Best Accuracy: 89.92]
[Epoch: 12| Loss: 0.3324| Accuracy: 90.43| Best Accuracy: 90.43]
[Epoch: 13| Loss: 0.3278| Accuracy: 90.57| Best Accuracy: 90.57]
[Epoch: 14| Loss: 0.3236| Accuracy: 91.04| Best Accuracy: 91.04]
[Epoch: 15| Loss: 0.3199| Accuracy: 91.08| Best Accuracy: 91.08]
[Epoch: 16| Loss: 0.3165| Accuracy: 91.08| Best Accuracy: 91.08]
[Epoch: 17| Loss: 0.3134| Accuracy: 91.14| Best Accuracy: 91.14]
[Epoch: 18| Loss: 0.3107| Accuracy: 91.11| Best Accuracy: 91.14]
[Epoch: 19| Loss: 0.3082| Accuracy: 91.21| Best Accuracy: 91.21]
[Epoch: 20| Loss: 0.3060| Accuracy: 91.14| Best Accuracy: 91.21]
[Epoch: 21| Loss: 0.3040| Accuracy: 91.08| Best Accuracy: 91.21]
[Epoch: 22| Loss: 0.3022| Accuracy: 91.01| Best Accuracy: 91.21]
[Epoch: 23| Loss: 0.3005| Accuracy: 90.91| Best Accuracy: 91.21]
[Epoch: 24| Loss: 0.2989| Accuracy: 90.87| Best Accuracy: 91.21]
[Epoch: 25| Loss: 0.2975| Accuracy: 90.94| Best Accuracy: 91.21]
[Epoch: 26| Loss: 0.2962| Accuracy: 90.91| Best Accuracy: 91.21]
[Epoch: 27| Loss: 0.2949| Accuracy: 90.97| Best Accuracy: 91.21]
[Epoch: 28| Loss: 0.2938| Accuracy: 90.97| Best Accuracy: 91.21]
[Epoch: 29| Loss: 0.2927| Accuracy: 90.97| Best Accuracy: 91.21]
[Epoch: 30| Loss: 0.2917| Accuracy: 90.91| Best Accuracy: 91.21]
[Epoch: 31| Loss: 0.2908| Accuracy: 90.84| Best Accuracy: 91.21]
[Epoch: 32| Loss: 0.2899| Accuracy: 90.77| Best Accuracy: 91.21]
[Epoch: 33| Loss: 0.2890| Accuracy: 90.70| Best Accuracy: 91.21]
[Epoch: 34| Loss: 0.2882| Accuracy: 90.67| Best Accuracy: 91.21]
[Epoch: 35| Loss: 0.2875| Accuracy: 90.74| Best Accuracy: 91.21]
[Epoch: 36| Loss: 0.2868| Accuracy: 90.74| Best Accuracy: 91.21]
[Epoch: 37| Loss: 0.2861| Accuracy: 90.74| Best Accuracy: 91.21]
[Epoch: 38| Loss: 0.2854| Accuracy: 90.80| Best Accuracy: 91.21]
[Epoch: 39| Loss: 0.2848| Accuracy: 90.77| Best Accuracy: 91.21]
[Epoch: 40| Loss: 0.2841| Accuracy: 90.77| Best Accuracy: 91.21]
[Epoch: 41| Loss: 0.2836| Accuracy: 90.77| Best Accuracy: 91.21]
[Epoch: 42| Loss: 0.2830| Accuracy: 90.77| Best Accuracy: 91.21]
[Epoch: 43| Loss: 0.2824| Accuracy: 90.74| Best Accuracy: 91.21]
[Epoch: 44| Loss: 0.2819| Accuracy: 90.70| Best Accuracy: 91.21]
[Epoch: 45| Loss: 0.2814| Accuracy: 90.63| Best Accuracy: 91.21]
[Epoch: 46| Loss: 0.2809| Accuracy: 90.63| Best Accuracy: 91.21]
[Epoch: 47| Loss: 0.2804| Accuracy: 90.60| Best Accuracy: 91.21]
[Epoch: 48| Loss: 0.2799| Accuracy: 90.60| Best Accuracy: 91.21]
[Epoch: 49| Loss: 0.2794| Accuracy: 90.57| Best Accuracy: 91.21]
[Epoch: 50| Loss: 0.2790| Accuracy: 90.63| Best Accuracy: 91.21]
[Epoch: 51| Loss: 0.2785| Accuracy: 90.63| Best Accuracy: 91.21]
[Epoch: 52| Loss: 0.2781| Accuracy: 90.63| Best Accuracy: 91.21]
[Epoch: 53| Loss: 0.2777| Accuracy: 90.63| Best Accuracy: 91.21]
[Epoch: 54| Loss: 0.2773| Accuracy: 90.60| Best Accuracy: 91.21]
